Product name,Description,Product Amount,Unit Price,Link,Total Price ( after discounts)
,,,,,
Servo wires,2 different wires to be used with the servos motors,2,"1,61 €",https://fr.aliexpress.com/item/1005008268927795.html?spm=a2g0o.order_list.order_list_main.58.5b605e5bQ86yTz&gatewayAdapt=glo2fra,"3,01 €"
BL Motor,Brushless motor with motor controller card,1,"9,59 €",https://fr.aliexpress.com/item/1005007417006124.html?spm=a2g0o.order_list.order_list_main.11.5b605e5bQ86yTz&gatewayAdapt=glo2fra,"8,38 €"
LiPo Battery,11.1v with 2500 mAh each to feed the motor and servos,2,"11,99 €",https://fr.aliexpress.com/item/1005007176429068.html?spm=a2g0o.order_list.order_list_main.65.5b605e5bQ86yTz&gatewayAdapt=glo2fra,"20,53 €"
Carbon propeller,A pair 1045 (better with small motor),1,"3,09 €",https://fr.aliexpress.com/item/1005008813878260.html?spm=a2g0o.order_list.order_list_main.83.5b605e5bQ86yTz&gatewayAdapt=glo2fra,"2,67 €"
Carbon propeller,A pair 9047 (better with big motor),1,"2,84 €",https://fr.aliexpress.com/item/1005008813878260.html?spm=a2g0o.order_list.order_list_main.83.5b605e5bQ86yTz&gatewayAdapt=glo2fra,"2,46 €"
Brushless Motor,A better brushless motor to improve the lift of the plane,1,"6,39 €",https://fr.aliexpress.com/item/1005010025620096.html?spm=a2g0o.order_list.order_list_main.107.5b605e5bQ86yTz&gatewayAdapt=glo2fra,"5,53 €"
Little camera,To be placed on the plane to record the flights,1,"9,59 €",https://fr.aliexpress.com/item/1005010222999155.html?spm=a2g0o.order_list.order_list_main.143.5b605e5bQ86yTz&gatewayAdapt=glo2fra,"8,29 €"
Sd card,32 GO SD card for the camera,1,"3,89 €",https://fr.aliexpress.com/item/1005009551797014.html?spm=a2g0o.order_list.order_list_main.131.5b605e5bQ86yTz&gatewayAdapt=glo2fra,"3,40 €"
1mm metal cable,To link the servos and the wings for exemple,1,"3,89 €",https://fr.aliexpress.com/item/1005006401690836.html?spm=a2g0o.order_list.order_list_main.149.5b605e5bQ86yTz&gatewayAdapt=glo2fra,"3,40 €"
metal renforced tape,strong tape to put on the parts that need to be stronger,1,"4,29 €",https://fr.aliexpress.com/item/1005010142077041.html?spm=a2g0o.order_list.order_list_main.155.5b605e5bQ86yTz&gatewayAdapt=glo2fra,"3,71 €"
glue stick,to glue all the parts of the plane together,1,"4,49 €",https://fr.aliexpress.com/item/1005009667353037.html?spm=a2g0o.order_list.order_list_main.167.5b605e5bQ86yTz&gatewayAdapt=glo2fra,"3,92 €"
LiPo charger,to charge the two batteries,1,"9,59 €",https://fr.aliexpress.com/item/32860849974.html?spm=a2g0o.order_list.order_list_main.179.5b605e5bQ86yTz&gatewayAdapt=glo2fra,"8,38 €"
,,,,,
,,,"83,24 €",,"73,68 €"
